B2,B3,B4,B5,B6,B7
20180904-004818_580_live,user_479,0,,0.05,11
20180904-004818_580_live,user_788,1,0.25,0.25,11
20180904-012448_306_live,user_1054,0,,0.1,10
20180904-012448_306_live,user_1455,1,0.1,0.1,10
20180904-012828_299_live,user_1594,0,,0,10
20180904-012828_299_live,user_1928,1,,0,10
20180904-024226_703_live,user_198,0,0.01,0.05,10
20180904-024226_703_live,user_1153,1,0.05,0.05,10
20180904-025026_901_live,user_1559,0,,0,10
20180904-025026_901_live,user_1379,1,0.3,0.3,10
20180904-030739_178_live,user_1104,0,,0,10
20180904-030739_178_live,user_621,1,,0,10
20180904-032932_423_live,user_816,0,,1,11
20180904-032932_423_live,user_1169,1,1,1,11
20180904-043300_214_live,user_858,0,,0,10
20180904-043300_214_live,user_1473,1,,0,10
20180904-045349_715_live,user_585,0,,0,11
20180904-045349_715_live,user_1810,1,0.2,0,11
20180904-073734_888_live,user_1237,0,,1,
20180904-073734_888_live,user_1833,1,,0,10
